id_tweets,sentiment_mistral,prompt
79,positive,2
79,positive,3
79,positive,4
79,positive,5
79,positive,6
79,positive,7
79,positive,8
80,positive,1
80,positive,2
80,positive,3
80,positive,4
80,positive,5
80,neutral,6
80,positive,7
80,positive,8
81,negative,1
81,negative,2
81,negative,3
81,negative,4
81,negative,5
81,negative,6
81,negative,7
81,negative,8
82,neutral,1
82,neutral,2
82,neutral,3
82,neutral,4
82,neutral,5
82,neutral,6
82,neutral,7
82,neutral,8
83,neutral,1
83,neutral,2
83,neutral,3
83,neutral,4
83,neutral,5
83,neutral,6
83,negative,7
83,neutral,8
84,positive,1
84,positive,2
84,positive,3
84,neutral,4
84,positive,5
84,neutral,6
84,neutral,7
84,neutral,8
87,neutral,1
87,positive,2
87,neutral,3
87,neutral,4
87,neutral,5
87,neutral,6
87,neutral,7
87,positive,8
89,neutral,1
89,neutral,2
89,neutral,3
89,positive,4
89,neutral,5
89,neutral,6
89,neutral,7
89,neutral,8
90,neutral,1
90,neutral,2
90,negative,3
90,neutral,4
90,neutral,5
90,neutral,6
90,neutral,7
90,neutral,8
92,neutral,1
92,neutral,2
92,neutral,3
92,neutral,4
92,neutral,5
92,neutral,6
92,neutral,7
92,neutral,8
94,neutral,1
94,neutral,2
94,neutral,3
94,neutral,4
94,neutral,5
94,neutral,6
94,neutral,7
94,neutral,8
95,positive,1
95,neutral,2
95,positive,3
95,positive,4
95,positive,5
95,positive,6
95,positive,7
95,positive,8
97,neutral,1
97,neutral,2
97,neutral,3
97,positive,4
97,neutral,5
97,neutral,6
97,neutral,7
97,neutral,8
98,neutral,1
98,neutral,2
98,neutral,3
98,neutral,4
98,positive,5
98,neutral,6
98,positive,7
98,positive,8
99,negative,1
99,neutral,2
99,negative,3
99,negative,4
99,negative,5
99,negative,6
99,negative,7
99,negative,8
100,negative,1
100,negative,2
100,negative,3
100,negative,4
100,negative,5
100,negative,6
100,negative,7
100,negative,8
101,neutral,1
101,neutral,2
101,neutral,3
101,neutral,4
101,neutral,5
101,neutral,6
101,neutral,7
101,neutral,8
102,neutral,1
102,neutral,2
102,neutral,3
102,neutral,4
102,neutral,5
102,neutral,6
102,neutral,7
102,neutral,8
103,neutral,1
103,neutral,2
103,negative,3
103,negative,4
103,negative,5
103,negative,6
103,negative,7
103,negative,8
104,neutral,1
104,neutral,2
104,neutral,3
104,neutral,4
104,neutral,5
104,neutral,6
104,neutral,7
104,neutral,8
105,positive,1
105,neutral,2
105,positive,3
105,positive,4
105,positive,5
105,positive,6
105,positive,7
105,positive,8
107,neutral,1
107,neutral,2
107,neutral,3
107,neutral,4
107,neutral,5
107,neutral,6
107,positive,7
107,neutral,8
108,neutral,1
108,neutral,2
108,neutral,3
108,neutral,4
108,neutral,5
108,neutral,6
108,neutral,7
108,neutral,8
109,neutral,1
109,neutral,2
109,neutral,3
109,neutral,4
109,neutral,5
109,neutral,6
109,neutral,7
109,neutral,8
110,neutral,1
110,neutral,2
110,positive,3
110,positive,4
110,positive,5
110,positive,6
110,positive,7
110,positive,8
111,positive,1
111,positive,2
111,neutral,3
111,neutral,4
111,positive,5
111,neutral,6
111,positive,7
111,neutral,8
112,negative,1
112,negative,2
112,negative,3
112,negative,4
112,negative,5
112,negative,6
112,negative,7
112,negative,8
114,positive,1
114,positive,2
114,positive,3
114,positive,4
114,positive,5
114,positive,6
114,positive,7
114,positive,8
116,negative,1
116,negative,2
116,negative,3
116,negative,4
116,negative,5
116,negative,6
116,negative,7
116,negative,8
117,positive,1
117,positive,2
117,positive,3
117,positive,4
117,positive,5
117,positive,6
117,positive,7
117,positive,8
118,neutral,1
118,neutral,2
118,negative,3
118,negative,4
118,negative,5
118,negative,6
118,negative,7
118,negative,8
119,negative,1
119,negative,2
119,negative,3
119,negative,4
119,negative,5
119,negative,6
119,negative,7
119,negative,8
120,negative,1
120,negative,2
120,negative,3
120,negative,4
120,negative,5
120,negative,6
120,negative,7
120,negative,8
123,positive,1
123,positive,2
123,positive,3
123,positive,4
123,positive,5
123,positive,6
123,positive,7
123,positive,8
124,neutral,1
124,neutral,2
124,neutral,3
124,neutral,4
124,neutral,5
124,neutral,6
124,neutral,7
124,neutral,8
125,neutral,1
125,neutral,2
125,neutral,3
125,neutral,4
125,neutral,5
125,neutral,6
125,neutral,7
125,neutral,8
126,neutral,1
126,neutral,2
126,neutral,3
126,neutral,4
126,neutral,5
126,neutral,6
126,neutral,7
126,neutral,8
128,neutral,1
128,neutral,2
128,neutral,3
128,neutral,4
128,negative,5
128,negative,6
128,neutral,7
128,neutral,8
129,neutral,1
129,neutral,2
129,neutral,3
129,neutral,4
129,neutral,5
129,neutral,6
129,neutral,7
129,neutral,8
130,neutral,1
130,neutral,2
130,neutral,3
130,neutral,4
130,positive,5
130,positive,6
130,positive,7
130,neutral,8
131,neutral,1
131,neutral,2
131,neutral,3
131,neutral,4
131,neutral,5
131,neutral,6
131,neutral,7
131,neutral,8
132,negative,1
132,negative,2
132,neutral,3
132,negative,4
132,negative,5
132,negative,6
132,negative,7
132,negative,8
133,neutral,1
133,neutral,2
133,neutral,3
133,neutral,4
133,neutral,5
133,neutral,6
133,positive,7
133,neutral,8
137,negative,1
137,negative,2
137,negative,3
137,negative,4
137,negative,5
137,negative,6
137,negative,7
137,negative,8
138,neutral,1
138,neutral,2
138,negative,3
138,negative,4
138,negative,5
138,negative,6
138,positive,7
138,negative,8
139,neutral,1
139,neutral,2
139,neutral,3
139,neutral,4
139,neutral,5
139,neutral,6
139,neutral,7
139,neutral,8
140,negative,1
140,negative,2
140,negative,3
140,negative,4
140,negative,5
140,negative,6
140,negative,7
140,negative,8
141,neutral,1
141,neutral,2
141,neutral,3
141,neutral,4
141,neutral,5
141,neutral,6
141,neutral,7
141,neutral,8
143,neutral,1
143,neutral,2
143,neutral,3
143,neutral,4
143,neutral,5
143,neutral,6
143,positive,7
143,neutral,8
144,positive,1
144,positive,2
144,positive,3
144,positive,4
144,positive,5
144,neutral,6
144,positive,7
144,positive,8
145,positive,1
145,positive,2
145,positive,3
145,positive,4
145,positive,5
145,positive,6
145,positive,7
145,positive,8
146,negative,1
146,negative,2
146,negative,3
146,negative,4
146,negative,5
146,negative,6
146,negative,7
146,negative,8
147,negative,1
147,neutral,2
147,negative,3
147,negative,4
147,negative,5
147,negative,6
147,negative,7
147,negative,8
149,neutral,1
149,neutral,2
149,positive,3
149,positive,4
149,positive,5
149,positive,6
149,positive,7
149,positive,8
151,neutral,1
151,neutral,2
151,neutral,3
151,neutral,4
151,neutral,5
151,neutral,6
151,neutral,7
151,neutral,8
152,neutral,1
152,neutral,2
152,neutral,3
152,neutral,4
152,neutral,5
152,neutral,6
152,neutral,7
152,neutral,8
153,neutral,1
153,neutral,2
153,neutral,3
153,neutral,4
153,neutral,5
153,neutral,6
153,neutral,7
153,neutral,8
154,neutral,1
154,neutral,2
154,neutral,3
154,neutral,4
154,neutral,5
154,neutral,6
154,neutral,7
154,neutral,8
155,neutral,1
155,neutral,2
155,neutral,3
155,neutral,4
155,neutral,5
155,neutral,6
155,neutral,7
155,neutral,8
156,negative,1
156,negative,2
156,negative,3
156,negative,4
156,negative,5
156,negative,6
156,negative,7
156,negative,8
157,neutral,1
157,neutral,2
157,neutral,3
157,neutral,4
157,negative,5
157,neutral,6
157,neutral,7
157,negative,8
158,neutral,1
158,neutral,2
158,neutral,3
158,neutral,4
158,neutral,5
158,neutral,6
158,neutral,7
158,neutral,8
159,neutral,1
159,neutral,2
159,neutral,3
159,neutral,4
159,neutral,5
159,neutral,6
159,neutral,7
159,neutral,8
163,neutral,1
163,neutral,2
163,neutral,3
163,neutral,4
163,neutral,5
163,neutral,6
163,neutral,7
163,neutral,8
165,negative,1
165,negative,2
165,neutral,3
165,negative,4
165,negative,5
165,negative,6
165,positive,7
165,neutral,8
168,neutral,1
168,neutral,2
168,neutral,3
168,neutral,4
168,neutral,5
168,neutral,6
168,neutral,7
168,neutral,8
169,neutral,1
169,neutral,2
169,neutral,3
169,negative,4
169,negative,5
169,negative,6
169,negative,7
169,neutral,8
170,neutral,1
170,neutral,2
170,neutral,3
170,neutral,4
170,neutral,5
170,neutral,6
170,neutral,7
170,neutral,8
171,positive,1
171,neutral,2
171,positive,3
171,positive,4
171,positive,5
171,positive,6
171,positive,7
171,positive,8
173,neutral,1
173,neutral,2
173,neutral,3
173,neutral,4
173,neutral,5
173,neutral,6
173,neutral,7
173,neutral,8
174,positive,1
174,positive,2
174,positive,3
174,positive,4
174,positive,5
174,positive,6
174,positive,7
174,positive,8
175,neutral,1
175,neutral,2
175,neutral,3
175,neutral,4
175,neutral,5
175,neutral,6
175,positive,7
175,neutral,8
176,neutral,1
176,neutral,2
176,positive,3
176,positive,4
176,positive,5
176,neutral,6
176,positive,7
176,positive,8
177,neutral,1
177,neutral,2
177,neutral,3
177,neutral,4
177,neutral,5
177,neutral,6
177,neutral,7
177,neutral,8
178,negative,1
178,negative,2
178,negative,3
178,negative,4
178,negative,5
178,negative,6
178,negative,7
178,negative,8
181,neutral,1
181,neutral,2
181,neutral,3
181,neutral,4
181,neutral,5
181,neutral,6
181,neutral,7
181,neutral,8
182,negative,1
182,negative,2
182,negative,3
182,negative,4
182,negative,5
182,negative,6
182,negative,7
182,negative,8
183,neutral,1
183,neutral,2
183,neutral,3
183,neutral,4
183,positive,5
183,positive,6
183,positive,7
183,positive,8
184,neutral,1
184,neutral,2
184,neutral,3
184,neutral,4
184,neutral,5
184,neutral,6
184,neutral,7
184,neutral,8
186,neutral,1
186,neutral,2
186,neutral,3
186,neutral,4
186,neutral,5
186,neutral,6
186,neutral,7
186,neutral,8
187,positive,1
187,positive,2
187,positive,3
187,positive,4
187,positive,5
187,positive,6
187,positive,7
187,positive,8
189,positive,1
189,positive,2
189,positive,3
189,neutral,4
189,positive,5
189,positive,6
189,positive,7
189,positive,8
191,neutral,1
191,neutral,2
191,neutral,3
191,neutral,4
191,neutral,5
191,neutral,6
191,neutral,7
191,neutral,8
192,neutral,1
192,neutral,2
192,neutral,3
192,neutral,4
192,positive,5
192,neutral,6
192,positive,7
192,neutral,8
194,negative,1
194,negative,2
194,negative,3
194,negative,4
194,negative,5
194,negative,6
194,negative,7
194,negative,8
195,neutral,1
195,neutral,2
195,negative,3
195,negative,4
195,negative,5
195,negative,6
195,negative,7
195,negative,8
197,neutral,1
197,neutral,2
197,neutral,3
197,neutral,4
197,neutral,5
197,neutral,6
197,positive,7
197,neutral,8
198,neutral,1
198,neutral,2
198,neutral,3
198,neutral,4
198,neutral,5
198,neutral,6
198,neutral,7
198,neutral,8
199,neutral,1
199,neutral,2
199,neutral,3
199,neutral,4
199,neutral,5
199,neutral,6
199,neutral,7
199,neutral,8
200,neutral,1
200,neutral,2
200,neutral,3
200,positive,4
200,neutral,5
200,neutral,6
200,positive,7
200,positive,8
201,negative,1
201,negative,2
201,negative,3
201,negative,4
201,negative,5
201,negative,6
201,negative,7
201,negative,8
202,neutral,1
202,neutral,2
202,neutral,3
202,neutral,4
202,neutral,5
202,neutral,6
202,neutral,7
202,neutral,8
203,neutral,1
203,neutral,2
203,neutral,3
203,neutral,4
203,neutral,5
203,neutral,6
203,positive,7
203,neutral,8
204,negative,1
204,negative,2
204,negative,3
204,negative,4
204,negative,5
204,negative,6
204,negative,7
204,negative,8
205,neutral,1
205,neutral,2
205,neutral,3
205,neutral,4
205,neutral,5
205,neutral,6
205,neutral,7
205,neutral,8
206,positive,1
206,positive,2
206,positive,3
206,positive,4
206,neutral,5
206,positive,6
206,positive,7
206,positive,8
207,neutral,1
207,neutral,2
207,neutral,3
207,neutral,4
207,neutral,5
207,neutral,6
207,neutral,7
207,neutral,8
208,neutral,1
208,neutral,2
208,neutral,3
208,neutral,4
208,neutral,5
208,neutral,6
208,neutral,7
208,neutral,8
209,neutral,1
209,neutral,2
209,neutral,3
209,negative,4
209,negative,5
209,negative,6
209,negative,7
209,negative,8
211,neutral,1
211,neutral,2
211,neutral,3
211,neutral,4
211,neutral,5
211,neutral,6
211,neutral,7
211,neutral,8
212,neutral,1
212,neutral,2
212,neutral,3
212,neutral,4
212,neutral,5
212,neutral,6
212,neutral,7
212,neutral,8
214,neutral,1
214,neutral,2
214,neutral,3
214,neutral,4
214,neutral,5
214,neutral,6
214,neutral,7
214,neutral,8
215,neutral,1
215,neutral,2
215,neutral,3
215,positive,4
215,positive,5
215,positive,6
215,positive,7
215,positive,8
216,neutral,1
216,neutral,2
216,neutral,3
216,neutral,4
216,neutral,5
216,neutral,6
216,neutral,7
216,neutral,8
219,neutral,1
219,neutral,2
219,neutral,3
219,neutral,4
219,neutral,5
219,neutral,6
219,neutral,7
219,neutral,8
220,neutral,1
220,neutral,2
220,neutral,3
220,neutral,4
220,neutral,5
220,neutral,6
220,positive,7
220,neutral,8
222,neutral,1
222,neutral,2
222,neutral,3
222,neutral,4
222,neutral,5
222,neutral,6
222,neutral,7
222,neutral,8
223,negative,1
223,negative,2
223,negative,3
223,negative,4
223,negative,5
223,negative,6
223,negative,7
223,negative,8
224,positive,1
224,positive,2
224,positive,3
224,positive,4
224,positive,5
224,positive,6
224,positive,7
224,positive,8
225,negative,1
225,neutral,2
225,neutral,3
225,neutral,4
225,negative,5
225,neutral,6
225,neutral,7
225,negative,8
227,neutral,1
227,neutral,2
227,neutral,3
227,neutral,4
227,neutral,5
227,neutral,6
227,negative,7
227,negative,8
229,negative,1
229,negative,2
229,negative,3
229,negative,4
229,negative,5
229,negative,6
229,negative,7
229,negative,8
230,negative,1
230,negative,2
230,negative,3
230,negative,4
230,negative,5
230,negative,6
230,negative,7
230,negative,8
231,negative,1
231,negative,2
231,negative,3
231,negative,4
231,negative,5
231,negative,6
231,negative,7
231,negative,8
234,neutral,1
234,neutral,2
234,neutral,3
234,neutral,4
234,neutral,5
234,neutral,6
234,neutral,7
234,neutral,8
236,neutral,1
236,neutral,2
236,neutral,3
236,neutral,4
236,neutral,5
236,neutral,6
236,neutral,7
236,neutral,8
237,neutral,1
237,neutral,2
237,neutral,3
237,negative,4
237,negative,5
237,negative,6
237,neutral,7
237,neutral,8
238,neutral,1
238,neutral,2
238,neutral,3
238,neutral,4
238,neutral,5
238,neutral,6
238,neutral,7
238,neutral,8
240,neutral,1
240,neutral,2
240,neutral,3
240,neutral,4
240,neutral,5
240,neutral,6
240,neutral,7
240,neutral,8
242,negative,1
242,negative,2
242,negative,3
242,negative,4
242,negative,5
242,negative,6
242,negative,7
242,positive,8
243,neutral,1
243,neutral,2
243,neutral,3
243,neutral,4
243,neutral,5
243,neutral,6
243,neutral,7
243,neutral,8
244,neutral,1
244,neutral,2
244,neutral,3
244,neutral,4
244,neutral,5
244,neutral,6
244,positive,7
244,neutral,8
245,negative,1
245,negative,2
245,negative,3
245,negative,4
245,negative,5
245,negative,6
245,negative,7
245,negative,8
247,neutral,1
247,neutral,2
247,neutral,3
247,negative,4
247,neutral,5
247,neutral,6
247,neutral,7
247,neutral,8
249,neutral,1
249,neutral,2
249,neutral,3
249,neutral,4
249,neutral,5
249,neutral,6
249,neutral,7
249,neutral,8
250,positive,1
250,positive,2
250,positive,3
250,positive,4
250,positive,5
250,positive,6
250,positive,7
250,positive,8
252,negative,1
252,negative,2
252,negative,3
252,negative,4
252,negative,5
252,negative,6
252,negative,7
252,negative,8
254,neutral,1
254,neutral,2
254,neutral,3
254,neutral,4
254,neutral,5
254,neutral,6
254,neutral,7
254,neutral,8
255,neutral,1
255,neutral,2
255,negative,3
255,negative,4
255,negative,5
255,negative,6
255,negative,7
255,negative,8
256,neutral,1
256,neutral,2
256,neutral,3
256,neutral,4
256,neutral,5
256,neutral,6
256,positive,7
256,neutral,8
257,negative,1
257,neutral,2
257,negative,3
257,negative,4
257,negative,5
257,negative,6
257,neutral,7
257,neutral,8
258,neutral,1
258,neutral,2
258,neutral,3
258,neutral,4
258,neutral,5
258,neutral,6
258,neutral,7
258,neutral,8
260,neutral,1
260,neutral,2
260,neutral,3
260,neutral,4
260,neutral,5
260,neutral,6
260,neutral,7
260,neutral,8
262,neutral,1
262,neutral,2
262,neutral,3
262,neutral,4
262,neutral,5
262,neutral,6
262,neutral,7
262,neutral,8
263,negative,1
263,neutral,2
263,negative,3
263,negative,4
263,negative,5
263,negative,6
263,neutral,7
263,neutral,8
265,neutral,1
265,neutral,2
265,neutral,3
265,neutral,4
265,neutral,5
265,neutral,6
265,neutral,7
265,neutral,8
266,neutral,1
266,neutral,2
266,negative,3
266,negative,4
266,negative,5
266,negative,6
266,negative,7
266,negative,8
267,neutral,1
267,neutral,2
267,neutral,3
267,neutral,4
267,neutral,5
267,neutral,6
267,neutral,7
267,neutral,8
270,neutral,1
270,neutral,2
270,neutral,3
270,neutral,4
270,neutral,5
270,neutral,6
270,neutral,7
270,neutral,8
271,neutral,1
271,neutral,2
271,negative,3
271,negative,4
271,negative,5
271,negative,6
271,neutral,7
271,negative,8
272,neutral,1
272,neutral,2
272,neutral,3
272,neutral,4
272,neutral,5
272,neutral,6
272,positive,7
272,neutral,8
273,neutral,1
273,neutral,2
273,neutral,3
273,neutral,4
273,neutral,5
273,neutral,6
273,neutral,7
273,neutral,8
274,neutral,1
274,neutral,2
274,neutral,3
274,neutral,4
274,neutral,5
274,neutral,6
274,neutral,7
274,neutral,8
275,negative,1
275,negative,2
275,negative,3
275,negative,4
275,negative,5
275,negative,6
275,negative,7
275,neutral,8
276,neutral,1
276,neutral,2
276,neutral,3
276,neutral,4
276,neutral,5
276,neutral,6
276,neutral,7
276,neutral,8
279,positive,1
279,neutral,2
279,positive,3
279,positive,4
279,positive,5
279,positive,6
279,positive,7
279,positive,8
284,neutral,1
284,neutral,2
284,neutral,3
284,neutral,4
284,neutral,5
284,neutral,6
284,neutral,7
284,neutral,8
285,neutral,1
285,positive,2
285,positive,3
285,positive,4
285,positive,5
285,positive,6
285,positive,7
285,positive,8
287,neutral,1
287,neutral,2
287,neutral,3
287,neutral,4
287,positive,5
287,neutral,6
287,positive,7
287,positive,8
288,neutral,1
288,neutral,2
288,positive,3
288,neutral,4
288,neutral,5
288,neutral,6
288,positive,7
288,positive,8
291,neutral,1
291,positive,2
291,neutral,3
291,neutral,4
291,neutral,5
291,neutral,6
291,positive,7
291,neutral,8
292,neutral,1
292,neutral,2
292,neutral,3
292,neutral,4
292,neutral,5
292,neutral,6
292,neutral,7
292,neutral,8
293,neutral,1
293,neutral,2
293,neutral,3
293,neutral,4
293,neutral,5
293,neutral,6
293,neutral,7
293,neutral,8
294,neutral,1
294,neutral,2
294,neutral,3
294,neutral,4
294,negative,5
294,neutral,6
294,neutral,7
294,neutral,8
295,neutral,1
295,neutral,2
295,neutral,3
295,neutral,4
295,neutral,5
295,neutral,6
295,neutral,7
295,neutral,8
296,neutral,1
296,neutral,2
296,neutral,3
296,neutral,4
296,neutral,5
296,neutral,6
296,neutral,7
296,neutral,8
299,neutral,1
299,neutral,2
299,neutral,3
299,neutral,4
299,neutral,5
299,neutral,6
299,neutral,7
299,neutral,8
300,neutral,1
300,neutral,2
300,neutral,3
300,neutral,4
300,neutral,5
300,neutral,6
300,neutral,7
300,neutral,8
302,neutral,1
302,neutral,2
302,neutral,3
302,neutral,4
302,neutral,5
302,neutral,6
302,neutral,7
302,neutral,8
303,negative,1
303,negative,2
303,negative,3
303,negative,4
303,negative,5
303,negative,6
303,negative,7
303,negative,8
304,neutral,1
304,neutral,2
304,neutral,3
304,neutral,4
304,neutral,5
304,neutral,6
304,neutral,7
304,neutral,8
306,neutral,1
306,neutral,2
306,neutral,3
306,negative,4
306,negative,5
306,negative,6
306,negative,7
306,negative,8
307,neutral,1
307,neutral,2
307,neutral,3
307,neutral,4
307,neutral,5
307,neutral,6
307,neutral,7
307,neutral,8
309,negative,1
309,negative,2
309,negative,3
309,negative,4
309,negative,5
309,negative,6
309,negative,7
309,negative,8
310,negative,1
310,negative,2
310,negative,3
310,negative,4
310,negative,5
310,negative,6
310,negative,7
310,negative,8
311,negative,1
311,negative,2
311,negative,3
311,negative,4
311,negative,5
311,negative,6
311,negative,7
311,negative,8
312,negative,1
312,neutral,2
312,negative,3
312,negative,4
312,negative,5
312,negative,6
312,negative,7
312,negative,8
313,neutral,1
313,neutral,2
313,neutral,3
313,neutral,4
313,neutral,5
313,neutral,6
313,neutral,7
313,neutral,8
314,neutral,1
314,neutral,2
314,neutral,3
314,neutral,4
314,neutral,5
314,neutral,6
314,neutral,7
314,neutral,8
315,neutral,1
315,neutral,2
315,neutral,3
315,positive,4
315,neutral,5
315,positive,6
315,positive,7
315,positive,8
317,neutral,1
317,neutral,2
317,neutral,3
317,neutral,4
317,neutral,5
317,neutral,6
317,neutral,7
317,neutral,8
318,neutral,1
318,negative,2
318,neutral,3
318,negative,4
318,negative,5
318,negative,6
318,neutral,7
318,neutral,8
319,neutral,1
319,neutral,2
319,neutral,3
319,neutral,4
319,neutral,5
319,neutral,6
319,neutral,7
319,neutral,8
320,positive,1
320,neutral,2
320,positive,3
320,positive,4
320,positive,5
320,positive,6
320,positive,7
320,positive,8
321,neutral,1
321,neutral,2
321,neutral,3
321,negative,4
321,negative,5
321,negative,6
321,neutral,7
321,negative,8
322,positive,1
